mean anscombe freeman square_root
13.4 1.00045125626 0.991809487299 1.03168639463
13.45 1.00044735161 0.991834044762 1.03155044764
13.5 1.00044349807 0.991858488357 1.03141570388
13.55 1.00043969477 0.991882818039 1.0312821465
13.6 1.00043594082 0.991907033794 1.03114975899
13.65 1.00043223539 0.991931135646 1.03101852513
13.7 1.00042857764 0.991955123646 1.03088842907
13.75 1.00042496676 0.991978997879 1.03075945524
13.8 1.00042140196 0.992002758455 1.03063158838
13.85 1.00041788245 0.992026405515 1.03050481352
13.9 1.00041440748 0.992049939222 1.03037911599
13.95 1.00041097628 0.992073359766 1.03025448139
14 1.00040758814 0.992096667359 1.03013089561
14.05 1.00040424232 0.992119862237 1.03000834477
14.1 1.00040093814 0.992142944655 1.0298868153
14.15 1.00039767489 0.992165914888 1.02976629383
14.2 1.0003944519 0.992188773231 1.02964676728
14.25 1.00039126851 0.992211519994 1.0295282228
14.3 1.00038812407 0.992234155508 1.02941064776
14.35 1.00038501794 0.992256680117 1.02929402977
14.4 1.00038194951 0.99227909418 1.02917835667
14.45 1.00037891815 0.99230139807 1.02906361651
14.5 1.00037592328 0.992323592177 1.02894979755
14.55 1.0003729643 0.992345676898 1.02883688828
14.6 1.00037004064 0.992367652645 1.02872487736
14.65 1.00036715173 0.992389519842 1.02861375368
14.7 1.00036429703 0.992411278921 1.0285035063
14.75 1.00036147599 0.992432930326 1.02839412449
14.8 1.00035868807 0.992454474508 1.02828559768
14.85 1.00035593276 0.992475911929 1.02817791552
14.9 1.00035320955 0.992497243057 1.0280710678
14.95 1.00035051793 0.992518468368 1.0279650445
15 1.00034785742 0.992539588347 1.02785983575
15.05 1.00034522753 0.992560603482 1.02775543189
15.1 1.00034262778 0.992581514269 1.02765182337
15.15 1.00034005773 0.99260232121 1.02754900082
15.2 1.0003375169 0.992623024811 1.02744695504
15.25 1.00033500485 0.992643625584 1.02734567695
15.3 1.00033252115 0.992664124044 1.02724515764
15.35 1.00033006537 0.992684520711 1.02714538835
15.4 1.00032763709 0.992704816107 1.02704636043
15.45 1.00032523588 0.992725010759 1.0269480654
15.5 1.00032286135 0.992745105196 1.0268504949
15.55 1.0003205131 0.992765099951 1.02675364071
15.6 1.00031819073 0.992784995556 1.02665749473
15.65 1.00031589387 0.99280479255 1.026562049
15.7 1.00031362213 0.992824491468 1.02646729568
15.75 1.00031137515 0.992844092852 1.02637322705
15.8 1.00030915257 0.992863597241 1.02627983551
15.85 1.00030695402 0.992883005178 1.02618711358
15.9 1.00030477916 0.992902317205 1.02609505388
15.95 1.00030262765 0.992921533865 1.02600364916
16 1.00030049914 0.992940655701 1.02591289229
16.05 1.00029839331 0.992959683258 1.02582277621
16.1 1.00029630984 0.992978617079 1.025733294
16.15 1.00029424839 0.992997457707 1.02564443882
16.2 1.00029220867 0.993016205686 1.02555620396
16.25 1.00029019036 0.993034861558 1.02546858279
16.3 1.00028819315 0.993053425866 1.02538156877
16.35 1.00028621676 0.99307189915 1.02529515548
16.4 1.00028426089 0.993090281951 1.02520933657
16.45 1.00028232525 0.993108574809 1.0251241058
16.5 1.00028040956 0.993126778261 1.025039457
16.55 1.00027851355 0.993144892844 1.02495538412
16.6 1.00027663694 0.993162919094 1.02487188117
16.65 1.00027477947 0.993180857544 1.02478894226
16.7 1.00027294087 0.993198708728 1.02470656157
16.75 1.00027112089 0.993216473174 1.02462473337
16.8 1.00026931927 0.993234151413 1.02454345202
16.85 1.00026753576 0.993251743971 1.02446271195
16.9 1.00026577011 0.993269251374 1.02438250766
16.95 1.0002640221 0.993286674143 1.02430283374
17 1.00026229147 0.993304012801 1.02422368484
17.05 1.000260578 0.993321267866 1.02414505571
17.1 1.00025888146 0.993338439855 1.02406694114
17.15 1.00025720162 0.993355529281 1.02398933602
17.2 1.00025553826 0.993372536657 1.02391223529
17.25 1.00025389117 0.993389462493 1.02383563396
17.3 1.00025226013 0.993406307295 1.02375952711
17.35 1.00025064492 0.993423071568 1.02368390991
17.4 1.00024904535 0.993439755814 1.02360877755
17.45 1.00024746121 0.993456360534 1.02353412531
17.5 1.0002458923 0.993472886224 1.02345994854
17.55 1.00024433842 0.993489333378 1.02338624264
17.6 1.00024279938 0.993505702489 1.02331300306
17.65 1.00024127498 0.993521994046 1.02324022534
17.7 1.00023976505 0.993538208534 1.02316790504
17.75 1.00023826939 0.993554346437 1.02309603781
17.8 1.00023678783 0.993570408238 1.02302461935
17.85 1.00023532018 0.993586394413 1.0229536454
17.9 1.00023386627 0.993602305438 1.02288311176
17.95 1.00023242593 0.993618141786 1.0228130143
18 1.00023099899 0.993633903926 1.02274334893
18.05 1.00022958527 0.993649592326 1.02267411161
18.1 1.00022818462 0.99366520745 1.02260529835
18.15 1.00022679687 0.993680749758 1.02253690523
18.2 1.00022542187 0.99369621971 1.02246892835
18.25 1.00022405945 0.99371161776 1.02240136388
18.3 1.00022270946 0.993726944362 1.02233420803
18.35 1.00022137174 0.993742199965 1.02226745705
18.4 1.00022004616 0.993757385017 1.02220110727
18.45 1.00021873255 0.993772499961 1.02213515501
18.5 1.00021743078 0.993787545239 1.02206959669
18.55 1.0002161407 0.993802521288 1.02200442873
18.6 1.00021486217 0.993817428545 1.02193964763
18.65 1.00021359505 0.993832267442 1.02187524991
18.7 1.00021233921 0.993847038408 1.02181123213
18.75 1.00021109451 0.993861741871 1.02174759091
18.8 1.00020986081 0.993876378255 1.0216843229
18.85 1.00020863799 0.993890947979 1.0216214248
18.9 1.00020742591 0.993905451464 1.02155889332
18.95 1.00020622446 0.993919889124 1.02149672524
19 1.0002050335 0.993934261372 1.02143491737
19.05 1.00020385292 0.993948568617 1.02137346656
19.1 1.00020268259 0.993962811267 1.02131236968
19.15 1.00020152238 0.993976989725 1.02125162367
19.2 1.0002003722 0.993991104394 1.02119122547
19.25 1.00019923191 0.994005155671 1.02113117207
19.3 1.0001981014 0.994019143952 1.02107146051
19.35 1.00019698056 0.994033069631 1.02101208785
19.4 1.00019586929 0.994046933097 1.02095305117
19.45 1.00019476746 0.994060734739 1.02089434762
19.5 1.00019367498 0.99407447494 1.02083597435
19.55 1.00019259174 0.994088154083 1.02077792856
19.6 1.00019151762 0.994101772547 1.02072020747
19.65 1.00019045254 0.99411533071 1.02066280835
19.7 1.00018939638 0.994128828944 1.02060572848
19.75 1.00018834904 0.994142267621 1.02054896519
19.8 1.00018731043 0.99415564711 1.02049251582
19.85 1.00018628046 0.994168967777 1.02043637775
19.9 1.00018525901 0.994182229985 1.0203805484
19.95 1.00018424601 0.994195434095 1.02032502521
20 1.00018324135 0.994208580466 1.02026980564
